feature,chi2_score,p_value
monkey,63.071735986130896,1.9931372166395014e-15
monkey org,59.517548162763305,1.2120848123645356e-14
jose,47.24277175072726,6.2716837402481964e-12
jose monkey,39.442486738459024,3.3786519330138445e-10
account,23.29602834292958,1.388865040702224e-06
link,22.76919895995981,1.826700394568225e-06
spambayes,20.45371227041311,6.109094664600106e-06
following link,20.169124158041512,7.088795171575555e-06
link com,18.2490866123792,1.938188675106859e-05
click following,17.518708218854503,2.844944799452198e-05
http,16.787582583871767,4.1805975950176675e-05
submission,16.04950068680708,6.170789708892529e-05
click https,14.867648448999532,0.00011532395998474006
coordinator,14.245035939834466,0.00016048354362863086
following,13.987704005555363,0.0001840100757363392
wrote,13.578765209899073,0.00022875866701774686
2022,13.406090506543363,0.0002508086035062637
org,12.740790026994286,0.0003577665399078461
2008,12.195347148606764,0.00047908859611682937
recently,11.339351174683319,0.0007588183086987807
failure,11.001433841051224,0.0009104143053407494
verify,10.961286947612855,0.0009303518020176298
suspension,10.824231220128029,0.0010018028247492801
submission id,10.811132561070934,0.0010089156307619117
py,10.60387655606121,0.001128508053916318
community,10.597394685133134,0.0011324712535121884
opensuse,10.539894420305025,0.0011682509332564762
2020,10.50430594296476,0.0011909668468051383
password,10.410579636525487,0.0012529541012851171
hours,10.31599189151765,0.0013188239559728339
2021,10.308750251317214,0.0013240091511350193
verify account,10.115094011329948,0.0014705993209581548
opportunity,10.088336455006829,0.0014921074848417346
mailbox,9.992935818458601,0.0015714187519103669
utf,9.765376379827368,0.001778291060873561
result,9.760630576225761,0.0017828874730101587
list,9.687068485116871,0.001855693647493563
2007,9.622229283768819,0.001922362454491937
hello,9.621265174285591,0.0019233718784078687
clark,9.410103944600802,0.002157929934453579
http www,9.40782194301158,0.00216061728805888
perl,9.406513594737678,0.0021621595689240106
emails,9.38984396490411,0.002181907752056811
python,9.10679709542731,0.0025466139505713244
paypal,9.075485888282252,0.0025905873406631297
ms,8.938444507669724,0.002792304047766083
self,8.784909499209217,0.003037326335453478
incoming,8.76753421303775,0.003066397176967944
link https,8.718603928704994,0.0031497914559200017
dear customer,8.49562576377007,0.003560013155952239
sincerely,8.367500980475429,0.003819905473992377
dear ms,8.269137982873119,0.004032464762898018
portal,8.184435212495734,0.004225133095524211
hours result,7.9724309242830875,0.0047495113639081255
anderson,7.8462744458911935,0.005092554469177632
dear jose,7.8213114114349285,0.005163371637008073
bug,7.7297529541231125,0.005431818089704631
messages,7.6888024411759535,0.0055564485280790565
detected,7.61461057717433,0.005789726067176371
wetransfer,7.605926767176336,0.005817675434863529
temporary,7.532173744665078,0.006060673722381578
kindly,7.526069959457805,0.00608124254014987
temporary suspension,7.500927867625776,0.006166721371126876
customer,7.450125219571801,0.006343203601887668
remember,7.388025495780861,0.006565952825162837
amanda,7.374986726335495,0.00661372791516186
individuals,7.364720189223807,0.006651595003167374
random,7.355070210454665,0.006687389827159034
martinez,7.3153435302877945,0.006836832871885022
https refund,7.262046136123592,0.007042700607315361
spamassassin,7.214127871192886,0.00723319512461673
secure,7.173432227273678,0.007399107939887231
topics,6.994785484178992,0.008174750482967195
event,6.914098339664353,0.008551875328699473
com remember,6.769992236732918,0.009270323812981538
reply email,6.716286651713118,0.009553633941209434
24 hours,6.6757335040168275,0.00977342834562086
exclusive,6.65209176297139,0.009903948653784547
result temporary,6.6429913868220005,0.009954664547030137
white,6.607327715880047,0.010155995572579003
sarah,6.605284132783347,0.010167657811880967
dear mr,6.600976218539636,0.010192287040012727
added,6.55058419229991,0.010484972732448172
detected suspicious,6.518260549348605,0.010677238285546894
problem,6.505175193423884,0.01075609656832314
2019,6.5006722468297875,0.01078337131430942
kevin,6.491883956963489,0.010836807290787525
sarahjohnson,6.485425615343599,0.010876249435387593
com sarahjohnson,6.485425615343599,0.010876249435387593
permanent,6.386423023330052,0.011499653010289816
payment details,6.379791751175299,0.011542697440233502
email account,6.379259654518609,0.011546158507157704
mr,6.330778540092126,0.011866021602897991
dev,6.281345429613671,0.01220154307612016
mailing,6.237510879527103,0.01250721381831778
posting,6.219109220597929,0.012637868125042407
mailing list,6.155411501256225,0.013101063232333069
unusual,6.107575684849232,0.013460363677003869
com consistent,6.09239983927502,0.013576456250265663
random topics,6.0890080253216095,0.013602543534059975
submission notes,6.052975907995469,0.013882879713783072
don hesitate,5.9763341866761355,0.014499108266570497
shipment,5.8909654486407215,0.015218754696414144
bank,5.865222594254195,0.015442905799904585
billing information,5.858843954564557,0.015498970552245533
ch,5.857663092083088,0.015509372669109636
failure verify,5.846941678537432,0.015604146440242099
charity,5.843167629718895,0.01563764960954797
activity account,5.833097658618106,0.01572740645305328
python org,5.789486134437922,0.0161223011612112
ethz,5.778934249378787,0.016219373059654603
ethz ch,5.778934249378787,0.016219373059654603
stat,5.77532437154156,0.01625272022484773
48 hours,5.768448236748881,0.016316435958007896
posting guide,5.751663127442102,0.01647305426750951
charity event,5.742765448285749,0.016556704451697164
document,5.737438504137847,0.01660699441086712
upgrade,5.694047716423642,0.017022546703696604
act,5.635811604911539,0.017597196849572005
update account,5.627296593394863,0.01768288193141484
refund claim,5.623911585547624,0.017717064196019358
trust email,5.616858267352281,0.0177885088535609
continue,5.611890538425733,0.017839006544606142
mailman,5.608403149928031,0.01787454474676212
legal,5.602371979959669,0.017936177930953465
work home,5.576006676497397,0.018208194876600182
spambayes spambayes,5.533623583246049,0.018654433311352536
notes,5.511818781929701,0.01888839519783654
clicking https,5.499670778229704,0.01902005422183592
visit secure,5.409392901410996,0.020028680383268913
confirm,5.407105858072956,0.020054938870905807
listinfo,5.397235456379281,0.020168674082331004
continue using,5.3863447328589,0.02029494076148658
current billing,5.358472600163538,0.020621827434566656
excited,5.31812710612615,0.021104683214912476
secure donation,5.29889674686967,0.02133893603492429
reply,5.270665837602775,0.021687715657308173
university,5.243044627028173,0.022034678762112
assignee,5.217421035175682,0.022361690517978955
added submission,5.215423554970908,0.022387392966421917
banking,5.192406127382565,0.022685786628482616
suspension account,5.188782521085113,0.022733136562735533
mailman listinfo,5.174466329917465,0.022921211328761504
48,5.169195779659658,0.022990857172501593
immediate,5.166318119735418,0.02302897554829184
hey,5.153645947623836,0.023197616196100036
including,5.113213328366198,0.02374430373101341
code,5.108700324961791,0.023806147305877278
avoid,5.106858017953144,0.02383144121083515
verification,5.062785493792598,0.02444491833270118
update payment,5.055297208552659,0.02455077100893659
regret inform,5.025102352420392,0.02498244902010096
harris,4.9816276998026385,0.02561786944995323
elite,4.970001190052365,0.02579062972663761
regret,4.964371555239962,0.025874715875864346
claim com,4.957951627603436,0.025970953799665925
plugin,4.93555502060729,0.026309612156506505
having trouble,4.931320041521747,0.026374163352734552
expire,4.925674152531986,0.02646047627525489
claim link,4.897550730577773,0.026894815021155222
life,4.892922788424942,0.02696699622640137
postfix,4.859089772703092,0.027500841366366924
brian,4.8382822504744585,0.027834607777756416
confidential,4.826065152492368,0.028032539183201543
update,4.824396742595431,0.02805968283047787
line,4.821350107495929,0.02810931965408345
verification link,4.806470499150308,0.02835305963667352
required,4.805042911173329,0.028376560037097667
trust,4.759662461979447,0.02913426093021799
donation page,4.755293305472565,0.029208314537113218
link direct,4.7364879837139835,0.029529294112891576
notes submission,4.7036051032113715,0.030099418106209187
account update,4.682984737922,0.030462775883162582
run,4.669827474214699,0.030697011038824155
onedrive,4.64931136245888,0.031066007813552232
direct secure,4.648515069904177,0.031080422603810682
dear user,4.64206110774838,0.031197512375093044
sender virus,4.623006298762133,0.03154590266377182
virus total,4.623006298762133,0.03154590266377182
apache,4.614390395024918,0.03170476247060844
netflix,4.610088589645603,0.03178439123018562
reserved,4.607326087989902,0.03183563664570799
closure,4.605921603810989,0.031861723390971375
breach,4.603192154834021,0.031912483711516754
total submission,4.596549234523325,0.03203637688611789
verification com,4.569861973038893,0.03253918704437425
button,4.538943537532139,0.033132034166435044
john anderson,4.521330795571092,0.0334747836455274
behalf,4.499835566099982,0.033898113050338685
maintaining,4.498357817389415,0.03392742073930233
mitchell,4.495895683676667,0.03397631023011285
provide necessary,4.481552411753305,0.034262585798611606
note,4.466936292120278,0.03455690190710186
blocked,4.450210689772396,0.03489694108719238
pending,4.444185136909779,0.035020299065809585
noticed,4.43997524390359,0.0351067565508341
feb,4.436907688766533,0.03516989471422957
account jose,4.423609666430018,0.035444978768414445
quota,4.408055125861964,0.03576959998456602
trouble current,4.388876233020943,0.0361741488491655
specialist,4.381974019636113,0.03632090961790511
sarah hope,4.376752837688713,0.03643234084503175
unusual activity,4.370063695978172,0.03657562469416146
media notification,4.361409736298128,0.03676187158322956
patch,4.352533602685741,0.03695393193867418
renew,4.3397351092422625,0.03723271568999227
para,4.332145725786171,0.03739907144625325
apache org,4.2881903796974585,0.03837799273874056
checkins,4.259191043404068,0.03903850767487557
grant,4.252328653954466,0.039196549017214276
hi jose,4.236464696957919,0.039564471598827505
cgi,4.234280762140519,0.03961540520813622
spambayes checkins,4.223907306938667,0.039858275574546236
substantial,4.221189248374976,0.03992217057983802
24,4.215317909839895,0.04006055875286063
recently came,4.186461695759064,0.04074805976676024
upcoming charity,4.1694228137686205,0.041159819125316716
home opportunity,4.168559056936257,0.04118080858275311
signin,4.164210054019233,0.0412866611313469
rights reserved,4.150059431428361,0.04163306259836157
lib,4.144130808262926,0.041779099265980855
login,4.1366161278698685,0.0419649783698974
information,4.136019224304857,0.041979780265172496
identified,4.128731487856307,0.042160943194547384
linux,4.117687496946305,0.04243704913934147
evans,4.094733808604506,0.04301700319294125
ms jessica,4.091314095671038,0.04310411736302005
justin,4.089515911430979,0.043149998931766124
kindly request,4.0628285279535845,0.04383701300428274
payment,4.0535268529650885,0.044079162887437934
smartphone,4.05323620284135,0.04408675200396676
000,4.047989460795003,0.04422398552926483
opportunity click,4.014676435226438,0.04510587756553015
transfer,3.998341402104199,0.04554506176397949
account information,3.979744783838739,0.04605054018525493
org account,3.9715064384341243,0.04627635462508146
visit official,3.9638731814007606,0.04648662527054195
clicking following,3.962922534529312,0.04651288284170784
prevent unauthorized,3.9618845681267674,0.04654157009840398
sarah thompson,3.960745187809058,0.04657308170238544
recently discovered,3.960600007251531,0.04657709854602998
perl org,3.958229461861986,0.046642738293474414
lists,3.9568846544697465,0.04668001898665205
https charity,3.949981137457016,0.0468718931945045
amanda white,3.9247110657450164,0.04758136610380925
team support,3.923039716754495,0.047628687866366294
action required,3.907891113031178,0.048059869480828035
neighborhood,3.8578326504677003,0.04951425080158613
link provide,3.845402482277521,0.0498825481287156
sarah com,3.8389949261867544,0.050073529076456715
foundation,3.834590989285064,0.05020523888488072
recover,3.833537752469951,0.05023679255681459
job offer,3.8319066573099727,0.05028569951610201
link verify,3.812712839360409,0.050865004630968755
sign,3.804162517719262,0.05112533685579121
